2024usv 0.03 21.9982043 -27.2093658
filter ATgr
60694.049331 20.049 0.309
60698.055707 20.295 0.313
60698.059333 21.009 0.784
60701.035932 19.903 0.489
60701.057883 20.382 0.402
60702.060816 20.521 0.492
60706.036793 19.886 0.399
filter ATri
60682.821929 20.358 0.807
60682.829405 20.586 0.922
60683.838974 -20.152 0.789
60683.845926 -20.446 0.76
60685.069466 -19.785 0.563
60686.072057 -20.452 0.754
60686.07526 19.697 0.467
60686.080371 20.278 0.636
60686.817437 20.351 0.864
60687.818403 20.302 0.781
60687.821653 -20.252 0.894
60687.827663 19.842 0.861
60687.837669 -19.944 0.892
60689.106188 -19.989 0.845
60690.066474 19.717 0.57
60690.069676 19.961 0.794
60690.074891 19.793 0.529
60690.814153 19.901 0.536
60691.78592 -19.62 0.397
60691.796333 21.216 0.974
60691.811363 21.187 0.91
60693.043067 20.371 0.725
60693.048528 19.722 0.333
60693.058809 -20.16 0.519
60694.804664 -20.728 0.758
60694.810184 20.161 0.441
60695.799479 20.585 0.734
60695.805403 20.73 0.883
60698.796455 20.794 0.752
60698.799672 -20.122 0.414
60698.805707 21.038 0.938
60698.815764 -21.01 0.851
60699.784653 -20.106 0.715
60699.806924 20.247 0.373
60699.813321 -21.038 0.837
60709.032968 19.134 0.301
60709.040743 19.957 0.529
60710.036917 19.4 0.276
60710.053183 20.187 0.6
60710.781925 19.608 0.463
60710.785148 20.387 0.765
60710.790615 -20.199 0.741
