2024xot 0.06 160.671542 44.103219
filter ATgr
60699.513944 20.731 0.626
60699.521229 20.621 0.475
60703.613745 20.296 0.364
60703.61705 21.328 0.957
60703.62218 20.889 0.694
60703.632268 20.831 0.61
filter ATri
60683.514677 20.303 0.417
60683.542665 20.337 0.45
60685.508247 20.138 0.509
60687.446274 -19.87 0.963
60693.50747 19.885 0.484
60695.40575 20.693 0.718
60695.407584 20.506 0.634
60695.410348 20.511 0.818
60697.342012 20.256 0.534
60697.347191 -21.04 0.967
60709.426784 20.239 0.32
60709.439383 20.31 0.47
60709.46536 20.669 0.584
