ATLAS2020hsk -99999 -99999 -99999
filter ATgr
60703.358607 -20.326 0.401
60708.632738 20.53 0.484
60708.672385 19.876 0.556
60711.362975 -21.343 0.982
60711.386089 -20.584 0.77
60711.387891 -19.503 0.403
60712.537324 20.427 0.54
60712.568912 20.442 0.458
filter ATri
60684.625727 19.981 0.603
60687.34351 -20.431 0.806
60690.589938 20.366 0.719
60690.593164 -20.319 0.714
60693.095537 -20.003 0.778
60693.09993 -20.199 0.858
60694.584015 -19.347 0.372
60694.606428 -19.791 0.467
60695.347276 19.971 0.879
60698.666293 -19.472 0.44
60700.606363 -20.42 0.393
60701.095705 -20.594 0.661
60701.099777 -20.272 0.531
60701.112592 20.266 0.665
60705.088355 20.883 0.746
60705.093793 20.372 0.485
60709.052508 20.825 0.679
60709.055662 -21.25 0.92
60709.078736 21.394 0.943
