ATLAS2020tgf -99999 -99999 -99999
filter ATgr
60695.382305 -21.052 0.862
60699.367752 20.935 0.838
60699.389071 20.349 0.47
60699.420222 -20.34 0.532
60699.461109 21.127 0.984
60703.495593 -20.856 0.91
filter ATri
60687.502869 18.975 0.454
60691.446911 -20.366 0.89
60693.241469 20.423 0.733
60693.269825 -20.866 0.844
60693.373769 -20.506 0.992
60695.476181 -20.517 0.882
60695.481805 -20.305 0.718
60697.370024 -20.805 0.885
60709.346259 -20.308 0.613
60709.353213 -20.254 0.534
60709.395737 19.808 0.357
60709.398978 20.982 0.856
60709.405439 -20.736 0.848
60710.347661 -20.664 0.988
60710.352067 -20.618 0.977
60710.357637 -19.56 0.389
