ATLAS2020yfc -99999 -99999 -99999
filter ATgr
60709.385555 -20.213 0.347
60709.393225 20.54 0.526
filter ATri
60684.43508 19.775 0.407
60686.393437 -19.895 0.629
60692.618079 20.389 0.844
60692.618536 20.251 0.834
60692.618993 20.179 0.679
60692.869883 19.854 0.83
60693.525568 -19.968 0.449
60693.531564 -19.894 0.412
60693.567229 20.693 0.948
60694.49694 -17.489 0.03
60694.500107 -20.827 0.797
60694.505568 20.286 0.476
60694.539927 -20.702 0.715
60695.461427 20.606 0.652
60695.494982 19.838 0.279
60695.497489 20.176 0.353
60695.500743 -19.951 0.271
60696.494026 -18.899 0.882
60696.525537 -21.025 0.74
60698.66208 17.688 0.659
60698.672118 -19.068 0.774
60699.486031 20.147 0.332
60699.490201 20.957 0.784
60699.494422 -20.279 0.412
60700.51126 21.008 0.973
60700.521163 20.236 0.419
60703.591248 20.778 0.759
60708.370416 20.876 0.772
60708.373751 20.965 0.673
60708.376491 -20.492 0.443
60708.381645 20.738 0.621
60710.368577 -19.933 0.357
60710.377771 -20.659 0.66
60711.287647 -20.66 0.771
60711.297099 -20.35 0.516
60711.299364 19.321 0.208
60712.344294 20.248 0.477
60712.363121 20.528 0.671
60713.074728 19.854 0.398
60713.097033 20.81 0.924
