ATLAS2024aefe -99999 -99999 -99999
filter ATgr
60709.553092 20.412 0.446
60709.556737 20.34 0.413
60709.559986 19.609 0.241
60710.552025 20.112 0.332
60710.555777 20.297 0.424
60710.56225 20.326 0.456
60710.575091 20.468 0.413
filter ATri
60682.606825 19.419 0.188
60682.609606 19.232 0.192
60682.61518 20.067 0.364
60682.625437 19.127 0.159
60684.615505 19.308 0.168
60684.618807 19.383 0.194
60684.626397 18.949 0.127
60690.595365 19.082 0.32
60690.598756 19.031 0.287
60690.603364 19.017 0.215
60690.607034 19.822 0.584
60690.615818 20.042 0.618
60690.616272 19.086 0.291
60691.586088 19.703 0.419
60691.58846 18.987 0.164
60691.588922 19.213 0.27
60691.591743 20.261 0.711
60691.594131 19.767 0.392
60691.598367 20.249 0.653
60691.604035 19.306 0.313
60691.608253 19.417 0.265
60692.57657 19.968 0.414
60692.579359 19.622 0.37
60692.586396 20.026 0.446
60692.596659 19.672 0.301
60693.574908 20.028 0.57
60693.577697 20.657 0.928
60693.582878 19.22 0.227
60693.592763 19.819 0.416
60694.595867 19.254 0.236
60694.599109 20.317 0.647
60694.605009 20.134 0.531
60694.615611 20.653 0.902
60695.600371 19.573 0.277
60695.603613 20.641 0.59
60695.611053 20.302 0.492
60695.620858 19.357 0.21
60696.618739 20.096 0.413
60697.531019 19.87 0.369
60697.532637 21.054 0.953
60697.536537 20.309 0.516
60697.545558 19.387 0.223
60699.603531 20.763 0.575
60699.607508 19.253 0.164
60699.612731 19.803 0.261
60699.625728 20.086 0.366
60704.586804 20.497 0.776
60704.593076 19.676 0.355
60708.566745 19.557 0.215
60708.569058 20.33 0.337
60708.574182 20.348 0.488
60708.582568 20.153 0.344
60710.513861 19.595 0.27
60711.513353 19.752 0.289
60711.516986 20.468 0.718
60711.520931 19.72 0.288
60711.5226 19.838 0.343
60711.531624 20.23 0.417
60711.547492 19.794 0.236
60711.566272 19.809 0.237
60711.590123 20.255 0.405
