ATLAS2024myw -99999 -99999 -99999
filter ATgr
60685.073274 20.385 0.401
60685.07692 21.11 0.753
60700.533847 21.165 0.854
60700.538838 20.755 0.521
60700.544279 20.414 0.449
60703.252624 19.366 0.284
60704.492212 -20.405 0.513
60707.226907 20.633 0.486
60708.544631 21.18 0.698
60708.546454 20.566 0.486
60708.549212 -21.354 0.795
60708.555193 20.896 0.583
60711.298444 -20.254 0.308
60711.303898 -19.884 0.259
60711.309328 -21.259 0.815
filter ATri
60683.32922 20.381 0.879
60683.334706 -20.038 0.444
60684.514696 -20.78 0.752
60684.524361 -20.568 0.526
60684.530368 -20.709 0.671
60684.54833 -18.682 0.337
60684.550139 -18.758 0.249
60684.565485 20.614 0.893
60687.300497 -17.055 0.589
60687.303665 16.673 0.403
60687.316514 -19.313 0.618
60689.027083 -19.31 0.544
60689.042569 18.445 0.221
60689.053872 19.039 0.416
60690.487757 19.584 0.64
60690.489652 19.043 0.344
60690.490951 19.861 0.734
60690.494598 -19.944 0.526
60690.496861 20.162 0.91
60690.510395 -20.453 0.892
60690.528673 -19.746 0.441
60691.313669 18.461 0.463
60698.658507 -19.562 0.698
60700.993487 20.251 0.532
60700.995759 20.966 0.824
60700.998935 20.99 0.902
60701.028941 20.304 0.367
60704.999199 -20.887 0.74
60709.046967 -20.942 0.789
60709.071469 20.243 0.403
60709.097579 -20.606 0.533
