#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
02a59571o0322o,170.42817,34.358249,>19.44,0.0,3.0,o,21.999,59571.59903135,2388.1,5698.14,187.0,180.5,-25.0,26.9,182.2,1171.7,1560.2,1.15,2.12,1.85,1.0,3.0,-0.4587,-28.72144879900296,30.904278907727182,18.56,30.0
02a59571o0326o,170.42817,34.358249,>19.021534831736496,0.0,1.07,o,21.997,59571.60086185,2407.75,5737.43,167.0,178.9,27.2,25.4,173.6,893.6,1366.4,1.09,2.14,1.88,1.0,3.0,-0.4567,32.0552576479515,29.933953833013533,18.51,30.0
02a59571o0332o,170.42817,34.358249,>19.44,0.0,3.0,o,21.978,59571.60362865,2349.69,5659.27,160.0,179.7,-28.0,25.4,174.7,-4224.1,1212.4,1.22,2.16,1.89,1.0,3.0,-0.4547,-34.01201265126583,30.853754333648283,18.5,30.0
02a59571o0383o,170.42817,34.358249,>19.71,0.0,3.0,o,22.029,59571.62749705,2333.27,5779.63,137.0,183.2,-21.9,20.2,182.4,-2041.2,1159.9,1.21,2.17,1.93,1.0,3.0,-0.4467,-25.847580881184495,23.84114766209711,18.6,30.0
01a59573o0792o,170.42817,34.358249,>19.333464281328368,0.0,1.43,o,22.206,59573.56690835,8176.67,2897.05,174.0,181.8,15.7,11.0,181.0,-935.0,807.0,1.18,2.98,2.76,1.0,3.0,-0.4827,31.958305487641326,22.391169449939788,18.84,30.0
01a59573o0805o,170.42817,34.358249,>19.9,0.0,3.0,o,22.207,59573.57356395,8155.88,2856.58,168.0,182.1,9.5,10.8,181.8,-830.9,717.9,1.0,2.91,2.67,1.0,3.0,-0.4887,18.352135238348627,20.86348006043844,18.85,30.0
01a59573o0857o,170.42817,34.358249,>19.91,0.0,3.0,o,22.213,59573.59875045,8226.49,2927.01,209.0,181.5,10.0,10.8,179.4,-1804.7,735.3,1.32,2.91,2.66,1.0,3.0,-0.4847,19.069239394462357,20.59477854601935,18.89,30.0
01a59573o0861o,170.42817,34.358249,>19.84,0.0,3.0,o,22.212,59573.60059575,8244.91,2809.32,178.0,180.6,-11.3,10.8,178.4,-1885.1,670.7,1.06,2.99,2.74,1.0,3.0,-0.4797,-22.722647953068805,21.71722105249054,18.88,30.0
01a59574o0820o,170.42817,34.358249,>20.07,0.0,3.0,o,22.211,59574.56563355,8182.11,2895.01,175.0,180.3,-13.0,9.1,178.8,-2177.7,799.8,1.33,3.0,2.64,1.0,3.0,-0.4867,-25.45817568393047,17.820722978751327,19.07,30.0
01a59574o0832o,170.42817,34.358249,>20.02,0.0,3.0,o,22.213,59574.57116655,8162.09,2851.68,176.0,182.1,-7.8,9.8,181.6,-993.6,704.1,1.03,2.95,2.61,1.0,3.0,-0.4827,-14.76780235330573,18.55441834133284,19.13,30.0
