MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60656.570936,17.847,0.091,264,24,o,0,1.22,160.58346,6.19855,6896.27,7196.37,4.31,2.61,6.0,-0.388,18.65,19.92,02a60656o0842o
60656.571841,17.991,0.104,231,24,o,0,1.16,160.58346,6.19855,6896.43,7197.48,3.8,2.7,6.4,-0.403,18.73,19.93,02a60656o0844o
60656.573671,18.088,0.114,211,24,o,0,1.26,160.58346,6.19855,6914.45,7236.22,3.59,2.75,10.4,-0.393,18.75,19.97,02a60656o0848o
60656.577299,18.136,0.103,202,21,o,0,1.01,160.58346,6.19855,6856.8,7159.51,3.24,2.45,16.4,-0.409,18.93,20.03,02a60656o0856o
60656.582765,17.848,0.062,264,16,o,0,2.14,160.58346,6.19855,6837.47,7275.2,3.25,2.41,11.8,-0.411,19.0,20.17,02a60656o0868o
60658.552751,18.058,0.12,217,26,o,0,0.89,160.58346,6.19855,936.98,9569.53,2.64,2.47,87.5,-0.461,18.84,19.38,01a60658o0780o
60658.55459,17.972,0.081,235,19,o,0,1.47,160.58346,6.19855,918.72,9532.16,2.71,2.5,83.6,-0.445,18.81,19.38,01a60658o0784o
60658.55733,18.379,0.155,162,25,o,0,1.09,160.58346,6.19855,976.99,9610.5,2.68,2.49,83.6,-0.453,18.81,19.39,01a60658o0790o
60658.56331,18.08,0.089,213,19,o,0,1.78,160.58346,6.19855,1001.97,9493.93,2.49,2.32,-86.9,-0.469,18.91,19.41,01a60658o0803o
60659.303385,18.069,0.154,215,33,o,0,1.24,160.58346,6.19855,896.47,9600.75,2.75,1.92,-71.5,-0.392,18.3,18.5,04a60659o0608o
60659.306586,18.327,0.247,169,42,o,0,1.26,160.58346,6.19855,875.67,9562.39,2.44,1.85,-67.9,-0.437,17.8,18.06,04a60659o0615o
60659.312058,17.382,1.113,405,450,o,0,1.36,160.58346,6.19855,934.2,9639.53,2.58,1.93,-66.5,-0.453,16.5,16.45,04a60659o0627o
60659.324338,17.7,0.102,302,31,o,0,2.1,160.58346,6.19855,953.95,9522.0,2.48,1.79,-71.2,-0.458,18.39,18.68,04a60659o0654o
60660.536263,18.022,0.103,224,23,o,0,1.46,160.58346,6.19855,3420.89,790.22,2.04,1.92,63.5,-0.456,18.7,19.12,02a60660o0756o
60660.538071,18.519,0.208,142,30,o,0,0.66,160.58346,6.19855,3441.09,829.61,2.03,1.91,59.5,-0.444,18.65,19.13,02a60660o0760o
60660.543565,18.17,0.113,196,22,o,0,1.41,160.58346,6.19855,3384.44,751.4,2.01,1.89,60.7,-0.47,18.69,19.15,02a60660o0772o
60660.55496,18.259,0.126,180,23,o,0,0.89,160.58346,6.19855,3364.77,869.68,1.99,1.86,53.2,-0.464,18.75,19.19,02a60660o0796o
60661.028351,19.841,0.82,42,34,o,0,1.45,160.58346,6.19855,6992.14,9789.07,2.85,2.36,-44.4,-0.39,18.33,18.74,03a60661o0568o
60661.031524,18.119,0.167,205,34,o,0,1.5,160.58346,6.19855,6972.86,9749.7,2.83,2.29,-45.2,-0.397,18.37,18.76,03a60661o0575o
60661.036978,18.286,0.187,176,33,o,0,1.79,160.58346,6.19855,7029.79,9829.57,2.97,2.4,-42.2,-0.377,18.35,18.79,03a60661o0587o
60661.05148,18.411,0.16,157,25,o,0,2.01,160.58346,6.19855,7052.08,9715.38,2.7,2.17,-43.0,-0.404,18.48,18.84,03a60661o0618o
60662.63557,18.288,0.11,176,19,o,0,1.74,160.58346,6.19855,4889.37,5385.05,2.82,2.49,43.5,-0.392,18.84,19.34,01a60662o0455o
60662.640752,18.347,0.118,166,20,o,0,1.28,160.58346,6.19855,4907.96,5421.48,2.75,2.4,41.8,-0.394,18.85,19.33,01a60662o0465o
60662.644462,18.42,0.141,156,22,o,0,1.14,160.58346,6.19855,4851.22,5344.03,2.89,2.46,44.5,-0.387,18.82,19.33,01a60662o0473o
60668.573279,18.328,0.093,169,16,o,0,1.25,160.58346,6.19855,7001.42,9148.3,2.23,2.14,40.2,-0.433,19.15,20.16,02a60668o0830o
60668.576468,18.55,0.097,138,13,o,0,1.9,160.58346,6.19855,7020.96,9186.57,2.29,2.19,41.4,-0.427,19.23,20.31,02a60668o0837o
