MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60655.969827,21.431,2.056,10,20,o,0,0.98,87.26015,-20.05974,3472.37,7155.97,2.29,2.07,-56.6,-0.391,18.99,19.81,03a60656o0436o
60655.972997,-20.297,0.545,-28,15,o,0,1.4,87.26015,-20.05974,3490.89,7195.15,2.28,2.01,-56.9,-0.386,19.02,19.82,03a60656o0443o
60655.98044,20.505,0.691,23,16,o,0,1.04,87.26015,-20.05974,3438.58,7118.06,2.25,2.01,-50.4,-0.393,19.06,19.9,03a60656o0459o
60656.005532,21.405,1.554,10,16,o,0,1.12,87.26015,-20.05974,3418.89,7231.18,2.45,2.14,-47.4,-0.376,19.0,19.94,03a60656o0512o
60657.226917,20.94,1.558,15,24,o,0,1.11,87.26015,-20.05974,3539.65,7191.88,2.14,1.81,-62.3,-0.435,18.76,19.37,04a60657o0453o
60657.233877,-23.874,26.75,-1,27,o,0,0.81,87.26015,-20.05974,3558.18,7230.09,2.24,1.84,-64.4,-0.424,18.7,19.39,04a60657o0468o
60657.237045,20.026,0.68,35,24,o,0,0.88,87.26015,-20.05974,3501.01,7153.09,2.24,1.88,-61.2,-0.433,18.71,19.4,04a60657o0475o
60657.270835,-23.066,11.118,-2,24,o,0,0.78,87.26015,-20.05974,3480.87,7272.62,2.06,1.81,-66.5,-0.433,18.76,19.42,04a60657o0545o
60658.213043,19.22,0.49,74,36,o,0,1.16,87.26015,-20.05974,9393.69,1017.93,2.66,2.16,-25.3,-0.381,18.6,19.03,04a60658o0423o
60658.216209,21.114,2.639,13,34,o,0,1.34,87.26015,-20.05974,9412.53,1057.17,2.51,2.11,-27.1,-0.406,18.61,19.04,04a60658o0430o
60658.22304,20.847,1.876,17,31,o,0,1.18,87.26015,-20.05974,9355.55,977.38,2.64,2.37,-20.4,-0.368,18.54,19.03,04a60658o0445o
60658.257356,-21.315,2.6,-11,28,o,0,1.48,87.26015,-20.05974,9337.24,1100.94,2.68,2.21,-35.2,-0.375,18.63,19.08,04a60658o0517o
60658.96204,23.651,23.2,1,29,o,0,1.64,87.26015,-20.05974,9467.51,1143.6,2.17,1.89,-52.1,-0.483,18.58,18.9,03a60659o0419o
60658.96566,20.128,0.866,32,28,o,0,1.09,87.26015,-20.05974,9487.34,1183.89,2.21,1.95,-52.3,-0.473,18.57,18.91,03a60659o0427o
60659.001027,20.919,1.645,16,26,o,0,1.86,87.26015,-20.05974,9439.82,1102.94,2.15,1.92,-56.4,-0.472,18.57,18.88,03a60659o0503o
60659.029298,19.341,0.431,67,29,o,0,1.35,87.26015,-20.05974,9418.31,1218.64,2.27,1.93,-55.1,-0.458,18.54,18.86,03a60659o0564o
60661.223792,18.893,2.619,101,264,o,0,1.34,87.26015,-20.05974,3224.85,797.12,2.09,1.87,38.0,-0.429,16.25,15.91,04a60661o0421o
