MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60659.632207,-19.986,0.975,-37,36,o,0,0.78,216.43646,20.09499,2044.96,5972.56,3.12,2.8,43.6,-0.376,18.37,18.85,01a60659o0942o
60659.64598,23.58,21.625,1,29,o,0,1.05,216.43646,20.09499,2030.57,5934.91,2.99,2.62,45.4,-0.374,18.44,18.75,01a60659o0971o
60661.620828,22.619,6.28,3,20,o,0,1.47,216.43646,20.09499,2464.77,4388.09,2.36,1.95,29.4,-0.454,18.63,19.21,02a60661o0925o
60661.628166,-20.276,0.673,-28,19,o,0,1.66,216.43646,20.09499,2484.84,4427.05,2.49,2.01,34.2,-0.441,18.69,19.28,02a60661o0941o
60661.648957,19.79,0.387,44,17,o,0,1.26,216.43646,20.09499,2428.76,4348.11,2.36,1.95,31.3,-0.449,18.82,19.42,02a60661o0981o
60661.658267,-22.482,5.968,-4,22,o,0,0.81,216.43646,20.09499,2409.83,4464.62,2.37,1.83,30.6,-0.451,18.85,19.4,02a60661o1001o
60662.63622,-21.619,2.435,-8,20,o,0,1.29,216.43646,20.09499,2218.83,8948.7,2.28,2.17,10.6,-0.42,18.88,19.52,02a60662o0959o
60662.639442,22.541,6.385,4,22,o,0,0.89,216.43646,20.09499,2238.97,8987.76,2.31,2.23,9.2,-0.405,18.88,19.54,02a60662o0966o
60662.646827,21.737,3.016,7,22,o,0,0.97,216.43646,20.09499,2180.14,8906.8,2.22,2.06,21.3,-0.418,18.93,19.57,02a60662o0982o
60662.657371,-25.518,94.5,0,21,o,0,0.85,216.43646,20.09499,2162.85,9026.05,2.12,2.01,13.5,-0.426,18.98,19.53,02a60662o1003o
60665.641367,21.221,1.354,12,16,o,0,1.03,216.43646,20.09499,4645.53,2846.33,2.32,1.84,34.1,-0.46,19.1,19.83,02a60665o0969o
60665.646536,-22.985,6.4,-2,15,o,0,1.15,216.43646,20.09499,4663.56,2885.28,2.29,1.83,34.4,-0.458,19.16,19.86,02a60665o0980o
60665.650785,-20.628,0.801,-20,16,o,0,1.07,216.43646,20.09499,4607.02,2809.29,2.25,1.79,36.4,-0.465,19.17,19.87,02a60665o0989o
60665.667685,18.636,0.274,128,35,o,0,1.14,216.43646,20.09499,4582.75,2925.26,2.22,1.8,33.8,-0.476,18.19,18.15,02a60665o1025o
60666.621687,22.065,3.343,5,18,o,0,1.26,216.43646,20.09499,8430.49,9138.22,2.48,2.27,-49.8,-0.439,19.06,19.89,02a60666o0916o
60666.624917,20.607,0.882,21,18,o,0,1.16,216.43646,20.09499,8449.32,9176.67,2.54,2.38,-52.2,-0.433,19.07,19.91,02a60666o0923o
60666.630502,20.763,1.112,18,20,o,0,0.92,216.43646,20.09499,8387.98,9099.02,2.35,2.23,-56.4,-0.442,19.1,19.93,02a60666o0935o
60666.648597,-21.685,2.276,-8,18,o,0,0.78,216.43646,20.09499,8360.08,9215.26,2.28,2.18,43.4,-0.429,19.15,20.0,02a60666o0974o
60667.628641,-20.333,1.136,-27,30,o,0,1.24,216.43646,20.09499,2207.36,1408.32,3.01,2.79,43.6,-0.412,18.58,19.37,01a60667o0670o
60667.632856,-21.427,2.907,-10,28,o,0,1.11,216.43646,20.09499,2184.65,1368.62,2.84,2.66,46.6,-0.419,18.69,19.75,01a60667o0679o
60668.615458,-20.702,1.09,-19,21,o,0,1.04,216.43646,20.09499,172.14,8036.5,2.71,2.45,-88.8,-0.442,18.93,20.34,01a60668o0880o
60668.619558,-20.102,0.623,-33,21,o,0,0.99,216.43646,20.09499,153.03,7996.62,2.76,2.55,-85.8,-0.441,18.94,20.39,01a60668o0888o
60668.625231,-20.137,0.607,-32,19,o,0,0.87,216.43646,20.09499,213.15,8075.46,2.68,2.44,-86.7,-0.445,18.97,20.45,01a60668o0899o
60668.634743,22.252,4.0,5,18,o,0,1.17,216.43646,20.09499,10138.81,8065.91,2.86,2.51,-52.2,-0.442,18.9,20.42,01a60668o0917o
60668.638374,-21.414,1.897,-10,19,o,0,1.25,216.43646,20.09499,238.99,7961.12,2.92,2.51,83.1,-0.428,18.96,20.48,01a60668o0924o
