MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60659.495463,20.447,1.104,24,26,o,0,1.39,157.87263,24.04696,2501.04,3447.26,2.6,2.35,43.8,-0.422,18.63,18.81,01a60659o0654o
60659.498264,-20.625,1.369,-20,28,o,0,1.04,157.87263,24.04696,2480.36,3409.12,2.96,2.6,46.3,-0.378,18.51,18.83,01a60659o0660o
60659.501065,-19.623,0.584,-51,30,o,0,0.84,157.87263,24.04696,2540.72,3486.28,2.81,2.58,44.7,-0.402,18.53,18.83,01a60659o0666o
60659.506228,21.894,4.043,6,26,o,0,0.96,157.87263,24.04696,2560.1,3369.94,2.6,2.44,44.4,-0.427,18.61,18.86,01a60659o0677o
60661.490762,21.378,2.933,10,30,o,0,0.99,157.87263,24.04696,1882.06,6883.88,2.02,1.78,23.7,-0.443,18.54,18.8,02a60661o0650o
60661.494005,-22.977,14.619,-2,34,o,0,0.55,157.87263,24.04696,1899.73,6922.93,2.35,1.81,26.6,-0.406,18.53,18.83,02a60661o0657o
60661.499039,-21.454,3.598,-10,34,o,0,0.57,157.87263,24.04696,1841.77,6844.38,2.37,1.87,27.3,-0.417,18.53,18.86,02a60661o0668o
60661.504524,19.423,0.467,62,29,o,0,1.16,157.87263,24.04696,1822.93,6961.16,2.26,1.8,27.1,-0.432,18.55,18.89,02a60661o0680o
60665.54727,21.043,1.455,14,20,o,0,0.93,157.87263,24.04696,8444.81,5354.23,2.31,2.12,33.4,-0.412,18.93,19.5,02a60665o0769o
60665.549982,-19.868,0.56,-41,23,o,0,0.84,157.87263,24.04696,8462.26,5392.83,2.32,2.12,37.1,-0.41,18.96,19.48,02a60665o0775o
60665.552753,-19.976,0.498,-37,18,o,0,1.21,157.87263,24.04696,8402.59,5316.65,2.28,2.13,39.9,-0.42,18.91,19.42,02a60665o0781o
60665.557778,-21.845,3.236,-7,22,o,0,0.95,157.87263,24.04696,8382.48,5434.17,2.22,2.07,39.4,-0.426,18.96,19.47,02a60665o0792o
60666.548415,-21.563,2.011,-9,17,o,0,0.73,157.87263,24.04696,2701.42,1465.88,1.96,1.87,58.9,-0.471,19.21,19.98,02a60666o0760o
60666.551589,23.093,8.524,2,18,o,0,0.8,157.87263,24.04696,2721.6,1505.11,1.99,1.85,51.5,-0.481,19.2,20.02,02a60666o0767o
60666.55521,-20.693,0.698,-19,13,o,0,1.06,157.87263,24.04696,2660.85,1426.81,1.94,1.8,53.2,-0.471,19.23,20.03,02a60666o0775o
60666.562964,-23.772,15.417,-1,17,o,0,0.65,157.87263,24.04696,2634.95,1543.03,1.94,1.8,44.5,-0.471,19.23,19.94,02a60666o0790o
60667.54666,-20.551,0.785,-22,17,o,0,0.87,157.87263,24.04696,7907.77,9095.71,2.73,2.64,64.7,-0.439,19.17,20.17,01a60667o0499o
60667.549509,-22.335,3.75,-4,16,o,0,1.13,157.87263,24.04696,7888.89,9056.52,2.72,2.65,86.0,-0.43,19.23,20.19,01a60667o0505o
60667.552279,-21.373,1.567,-10,16,o,0,0.91,157.87263,24.04696,7946.56,9135.22,2.73,2.67,83.2,-0.443,19.2,20.2,01a60667o0511o
60667.565206,20.915,1.056,16,16,o,0,1.28,157.87263,24.04696,7967.11,9019.35,2.93,2.86,62.4,-0.414,19.14,20.26,01a60667o0538o
60668.546238,22.377,3.219,4,13,o,0,0.53,157.87263,24.04696,6309.0,5487.64,2.66,2.38,41.9,-0.383,19.51,20.75,01a60668o0742o
60668.549461,22.847,4.8,3,13,o,0,0.82,157.87263,24.04696,6290.46,5448.06,2.67,2.47,51.0,-0.386,19.47,20.74,01a60668o0749o
60668.552245,-23.907,11.571,-1,12,o,0,0.97,157.87263,24.04696,6348.84,5527.06,2.81,2.56,44.8,-0.37,19.43,20.74,01a60668o0755o
60668.557602,-24.569,24.667,0,13,o,0,0.96,157.87263,24.04696,6367.12,5410.65,2.81,2.49,48.8,-0.388,19.3,20.91,01a60668o0765o
60669.525251,-20.483,0.678,-23,16,o,0,0.86,157.87263,24.04696,4306.26,5070.74,2.53,1.97,37.3,-0.429,19.33,20.41,02a60669o0720o
60669.528425,-20.337,0.6,-27,16,o,0,0.59,157.87263,24.04696,4324.55,5109.98,2.51,1.92,36.5,-0.434,19.36,20.42,02a60669o0727o
60669.531597,24.623,28.0,0,14,o,0,0.72,157.87263,24.04696,4264.85,5031.86,2.5,1.96,36.5,-0.431,19.37,20.43,02a60669o0734o
60669.536829,-22.525,4.464,-4,16,o,0,0.79,157.87263,24.04696,4245.98,5148.29,2.48,1.96,37.2,-0.433,19.36,20.43,02a60669o0745o
