MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60664.073388,-20.72,1.24,-19,23,o,0,0.88,198.14574,-29.96537,1712.8,2167.78,2.29,2.03,-64.5,-0.408,18.82,19.51,03a60664o0644o
60664.077488,-20.131,0.599,-32,19,o,0,1.49,198.14574,-29.96537,1692.69,2127.52,2.32,2.07,-70.1,-0.406,18.77,19.5,03a60664o0653o
60664.086213,20.74,1.264,18,23,o,0,1.15,198.14574,-29.96537,1750.47,2207.86,2.31,2.08,-67.4,-0.408,18.7,19.31,03a60664o0672o
60664.093382,19.518,0.537,57,30,o,0,1.39,198.14574,-29.96537,1772.57,2091.43,2.29,2.06,-61.7,-0.406,18.31,18.61,03a60664o0686o
60665.333332,20.583,0.868,21,18,o,0,2.12,198.14574,-29.96537,1630.43,2255.21,1.99,1.74,49.8,-0.44,18.88,19.63,04a60665o0646o
60665.337508,22.964,7.095,2,17,o,0,1.75,198.14574,-29.96537,1610.06,2215.71,1.96,1.74,57.4,-0.446,18.89,19.65,04a60665o0655o
60665.344156,20.351,0.734,26,19,o,0,1.22,198.14574,-29.96537,1668.91,2294.95,1.91,1.73,50.9,-0.438,18.9,19.64,04a60665o0669o
60665.354619,21.267,2.155,11,24,o,0,1.3,198.14574,-29.96537,1687.88,2177.91,1.9,1.76,50.7,-0.438,18.71,19.27,04a60665o0688o
60666.333069,-22.32,5.355,-4,23,o,0,1.37,198.14574,-29.96537,7257.85,6130.72,2.1,1.9,-53.0,-0.458,18.96,19.89,04a60666o0643o
60666.337234,25.328,63.5,0,17,o,0,2.05,198.14574,-29.96537,7237.97,6092.84,2.06,1.86,-44.8,-0.459,19.0,19.87,04a60666o0652o
60666.344694,20.614,1.05,21,22,o,0,2.47,198.14574,-29.96537,7295.89,6169.48,2.18,1.91,-67.7,-0.483,18.74,19.51,04a60666o0668o
60666.355688,21.467,3.587,9,34,o,0,0.8,198.14574,-29.96537,7315.81,6054.73,2.19,2.02,-42.8,-0.435,18.36,18.78,04a60666o0690o
60669.269505,-21.295,1.976,-11,22,o,0,1.43,198.14574,-29.96537,5644.17,2567.33,1.91,1.83,-26.4,-0.436,18.75,19.72,04a60669o0507o
60669.27377,-20.726,1.113,-19,21,o,0,1.51,198.14574,-29.96537,5624.41,2531.34,1.87,1.8,-34.3,-0.441,18.79,19.74,04a60669o0516o
60669.281295,-22.296,5.559,-4,24,o,0,1.15,198.14574,-29.96537,5681.6,2609.59,1.94,1.82,-27.4,-0.45,18.69,19.5,04a60669o0532o
60669.295221,-26.169,180.0,0,22,o,0,1.41,198.14574,-29.96537,5703.67,2493.2,1.92,1.81,-39.6,-0.456,18.77,19.61,04a60669o0559o
60670.336812,20.688,1.058,19,20,o,0,1.43,198.14574,-29.96537,6994.46,8363.51,1.97,1.77,-50.0,-0.423,19.12,20.23,04a60670o0650o
60670.342452,21.729,2.532,7,19,o,0,1.62,198.14574,-29.96537,6971.46,8327.3,1.93,1.74,-49.6,-0.442,19.06,20.14,04a60670o0662o
60670.346615,20.323,0.609,27,16,o,0,1.93,198.14574,-29.96537,7033.05,8404.74,1.92,1.72,-39.1,-0.445,19.02,20.01,04a60670o0671o
60670.353833,-20.296,0.791,-28,22,o,0,1.53,198.14574,-29.96537,7052.27,8288.08,1.9,1.71,-32.9,-0.452,18.76,19.42,04a60670o0686o
60673.336964,19.933,0.505,39,20,o,0,1.78,198.14574,-29.96537,8964.48,8239.5,2.08,1.85,-22.6,-0.432,19.3,20.63,04a60673o0649o
60673.341026,-20.01,0.347,-36,12,o,0,2.44,198.14574,-29.96537,8944.63,8201.16,2.03,1.82,-24.8,-0.434,19.28,20.59,04a60673o0657o
