MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60663.640433,-21.885,2.75,-6,18,o,0,1.44,243.89162,42.8788,3773.01,5493.96,2.77,1.99,35.7,-0.426,18.79,19.47,02a60663o0974o
60663.645609,-22.791,7.944,-3,22,o,0,0.95,243.89162,42.8788,3792.02,5533.71,2.67,2.0,34.3,-0.429,18.76,19.51,02a60663o0985o
60663.662452,20.815,2.242,17,38,o,0,0.94,243.89162,42.8788,3732.79,5455.27,2.9,2.14,37.9,-0.43,18.31,18.65,02a60663o1021o
60663.668865,-18.801,0.829,-110,91,o,0,1.28,243.89162,42.8788,3713.82,5569.66,2.91,2.06,35.3,-0.399,17.19,17.0,02a60663o1035o
60667.640155,20.363,0.671,26,17,o,0,1.47,243.89162,42.8788,9717.84,5596.85,2.44,2.32,-25.8,-0.433,19.01,19.89,02a60667o0970o
60667.645694,20.657,0.96,20,19,o,0,1.03,243.89162,42.8788,9738.74,5634.67,2.43,2.28,-39.8,-0.422,19.01,19.92,02a60667o0982o
60667.659303,-22.184,4.394,-5,21,o,0,0.91,243.89162,42.8788,9676.35,5559.54,2.34,2.22,-43.3,-0.437,18.99,19.79,02a60667o1011o
60667.664435,19.423,0.382,62,24,o,0,1.23,243.89162,42.8788,9655.91,5675.46,2.33,2.18,-42.9,-0.447,18.74,19.27,02a60667o1022o
60671.643608,20.276,0.537,28,15,o,0,0.81,243.89162,42.8788,2485.92,3441.67,2.38,2.06,31.7,-0.44,19.22,20.4,02a60671o0971o
60671.660417,22.374,4.259,4,17,o,0,1.32,243.89162,42.8788,2500.7,3474.5,2.52,2.18,36.9,-0.431,18.98,19.9,02a60671o1006o
60671.669709,19.832,1.288,42,55,o,0,1.23,243.89162,42.8788,2439.84,3394.76,2.68,2.24,35.7,-0.424,17.69,17.8,02a60671o1025o
60671.671532,19.188,1.029,77,79,o,0,1.02,243.89162,42.8788,2423.07,3511.57,2.78,2.3,31.2,-0.42,17.22,17.27,02a60671o1028o
60673.625962,20.666,0.783,20,15,o,0,0.86,243.89162,42.8788,381.44,7080.88,2.69,2.57,60.8,-0.397,19.29,20.49,01a60673o0927o
60673.639035,-25.999,83.0,0,12,o,0,1.25,243.89162,42.8788,10040.57,7124.66,2.59,2.54,33.9,-0.413,19.27,20.57,01a60673o0955o
60677.639393,-20.328,0.512,-27,14,o,0,0.84,243.89162,42.8788,5021.0,9328.49,2.88,2.61,57.0,-0.369,19.31,20.59,01a60677o0954o
60679.631751,-23.235,6.923,-2,13,o,0,1.24,243.89162,42.8788,7075.31,7415.47,2.39,2.17,32.3,-0.424,19.4,20.61,02a60679o0940o
60679.652449,20.478,0.524,23,12,o,0,1.27,243.89162,42.8788,7093.08,7451.65,2.38,2.13,35.9,-0.427,19.42,20.69,02a60679o0984o
60679.663134,21.056,0.913,14,12,o,0,1.13,243.89162,42.8788,7031.3,7375.86,2.41,2.06,35.9,-0.431,19.35,20.48,02a60679o1007o
60679.669986,20.978,1.077,15,16,o,0,1.81,243.89162,42.8788,7006.57,7489.17,2.37,2.01,35.0,-0.42,18.98,19.54,02a60679o1021o
60683.641206,-22.482,3.296,-4,12,o,0,1.67,243.89162,42.8788,5110.85,9475.71,2.39,2.14,32.7,-0.413,19.48,20.92,02a60683o0958o
60683.662893,-21.06,0.981,-14,13,o,0,1.18,243.89162,42.8788,5126.71,9513.92,2.3,2.09,35.0,-0.41,19.34,20.48,02a60683o1004o
60683.669183,20.581,0.976,21,21,o,0,1.55,243.89162,42.8788,5067.56,9436.37,2.34,2.08,34.9,-0.403,18.81,19.31,02a60683o1017o
60683.674312,-21.262,6.452,-11,73,o,0,0.93,243.89162,42.8788,5045.18,9552.64,2.41,2.12,35.2,-0.393,17.86,17.8,02a60683o1028o
60687.575638,20.513,2.42,23,55,o,0,0.86,243.89162,42.8788,9333.76,939.39,3.29,2.76,-46.5,-0.423,17.94,18.63,02a60687o0726o
60687.58076,-19.354,0.702,-66,46,o,0,0.92,243.89162,42.8788,9352.53,977.89,3.39,2.9,-47.1,-0.415,18.0,18.69,02a60687o0737o
60687.599015,-19.288,0.461,-70,32,o,0,1.43,243.89162,42.8788,9297.32,900.21,3.04,2.37,-54.4,-0.44,18.25,18.92,02a60687o0776o
60687.612201,21.117,2.788,13,36,o,0,0.86,243.89162,42.8788,9275.62,1019.61,2.95,2.38,-56.1,-0.456,18.33,19.06,02a60687o0804o
