MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60659.274191,-9.375,1.204,-645710,777592,o,0,0.79,338.63612,39.48491,920.06,2889.35,2.15,1.99,44.2,-0.489,14.23,14.41,02a60659o0186o
60659.280299,20.019,0.767,36,27,o,0,1.58,338.63612,39.48491,9668.98,7615.57,2.64,2.47,-59.5,-0.449,18.6,18.89,01a60659o0196o
60659.281526,-15.916,0.531,-1561,828,o,0,1.09,338.63612,39.48491,901.88,2847.95,2.22,1.95,37.5,-0.456,15.37,15.3,02a60659o0202o
60659.283538,20.993,1.899,14,28,o,0,1.39,338.63612,39.48491,9687.3,7654.82,2.76,2.62,-51.8,-0.445,18.41,18.79,01a60659o0203o
60659.284711,-17.859,0.816,-261,213,o,0,0.97,338.63612,39.48491,962.16,2924.8,2.07,1.96,33.6,-0.457,16.71,16.76,02a60659o0209o
60659.289166,-21.092,7.54,-13,100,o,0,1.15,338.63612,39.48491,9626.02,7579.91,2.55,2.41,-59.1,-0.478,17.05,16.8,01a60659o0215o
60659.301955,18.996,1.603,92,147,o,0,1.23,338.63612,39.48491,9603.76,7699.64,2.68,2.57,-60.0,-0.456,16.88,16.48,01a60659o0242o
60660.253846,20.322,0.801,27,22,o,0,1.38,338.63612,39.48491,3638.23,7514.8,2.55,2.38,49.8,-0.408,18.84,19.33,01a60660o0138o
60660.257068,20.578,1.018,21,22,o,0,0.97,338.63612,39.48491,3660.56,7553.36,2.56,2.37,50.1,-0.411,18.86,19.32,01a60660o0145o
60660.279399,20.746,1.121,18,20,o,0,1.81,338.63612,39.48491,3597.89,7473.73,2.54,2.39,45.6,-0.408,18.83,19.21,01a60660o0192o
60660.294442,-20.12,0.741,-32,24,o,0,1.04,338.63612,39.48491,3577.7,7589.12,2.87,2.59,50.5,-0.37,18.62,19.11,01a60660o0224o
