SN2006X 0.005200 185.724958 15.809194
filter u
 775.68 18.549 0.044
 778.86 17.818 0.035
 783.72 17.461 0.034
 784.83 17.475 0.027
 785.81 17.479 0.026
 786.84 17.496 0.019
 788.85 17.563 0.018
 790.80 17.728 0.018
 795.78 18.123 0.021
 798.80 18.450 0.024
 799.80 18.609 0.026
 802.79 19.027 0.032
 804.78 19.238 0.042
 805.74 19.383 0.060
 809.74 19.667 0.175
 815.72 20.247 0.079
 818.79 20.456 0.088
 819.77 20.522 0.049
 824.75 20.712 0.116
filter g
 775.68 16.154 0.005
 778.86 15.407 0.006
 783.72 14.899 0.004
 784.83 14.861 0.005
 785.81 14.826 0.006
 786.84 14.810 0.006
 788.85 14.815 0.007
 790.80 14.854 0.006
 795.78 15.095 0.005
 798.80 15.327 0.007
 799.80 15.403 0.005
 802.79 15.631 0.006
 804.78 15.801 0.006
 805.74 15.866 0.007
 809.74 16.174 0.010
 815.72 16.726 0.008
 818.79 16.944 0.008
 819.77 16.998 0.008
 824.75 17.165 0.006
 831.71 17.305 0.009
 832.78 17.325 0.007
 835.67 17.373 0.008
 838.70 17.434 0.014
 841.74 17.459 0.009
 845.66 17.485 0.009
 850.67 17.595 0.008
 853.67 17.640 0.009
 858.60 17.717 0.009
 862.67 17.774 0.010
 866.62 17.823 0.011
 870.64 17.878 0.013
 872.63 17.918 0.009
 890.59 18.186 0.011
 891.59 18.218 0.012
filter r
 775.68 14.800 0.004
 778.86 14.187 0.007
 783.72 13.780 0.006
 785.81 13.698 0.007
 786.84 13.672 0.007
 788.85 13.642 0.007
 790.80 13.686 0.007
 795.78 13.978 0.006
 798.80 14.180 0.008
 799.80 14.206 0.006
 802.79 14.275 0.008
 804.78 14.288 0.006
 805.74 14.301 0.008
 809.74 14.334 0.007
 815.72 14.647 0.007
 818.79 14.907 0.007
 819.77 14.975 0.009
 824.75 15.227 0.005
 831.71 15.495 0.010
 832.78 15.524 0.006
 835.67 15.630 0.007
 838.70 15.738 0.006
 841.74 15.831 0.006
 845.66 15.943 0.006
 850.67 16.121 0.008
 853.67 16.214 0.008
 858.60 16.372 0.008
 862.67 16.504 0.007
 866.62 16.624 0.009
 870.64 16.751 0.007
 872.63 16.814 0.009
 890.59 17.371 0.008
 891.59 17.401 0.008
filter i
 775.68 14.927 0.006
 778.86 14.179 0.007
 783.72 13.839 0.006
 784.83 13.828 0.008
 785.81 13.854 0.008
 786.84 13.883 0.006
 788.85 13.919 0.008
 790.80 13.970 0.005
 795.78 14.320 0.006
 798.80 14.501 0.007
 799.80 14.507 0.006
 802.79 14.443 0.008
 804.78 14.357 0.006
 805.74 14.331 0.008
 809.74 14.218 0.007
 815.72 14.313 0.008
 818.79 14.549 0.006
 819.77 14.623 0.012
 824.75 14.928 0.006
 831.71 15.247 0.012
 832.78 15.282 0.007
 835.67 15.393 0.007
 838.70 15.502 0.006
 841.74 15.625 0.006
 845.66 15.735 0.006
 850.67 15.944 0.009
 853.67 16.050 0.009
 858.60 16.229 0.007
 862.67 16.352 0.007
 866.62 16.490 0.008
 870.64 16.625 0.007
 872.63 16.671 0.010
 890.59 17.203 0.009
 891.59 17.251 0.009
filter B
 775.68 16.697 0.007
 778.86 15.908 0.008
 780.87 15.604 0.009
 783.72 15.408 0.007
 784.83 15.373 0.007
 785.81 15.363 0.007
 786.84 15.361 0.007
 788.85 15.419 0.007
 790.80 15.509 0.007
 795.78 15.898 0.006
 798.80 16.226 0.007
 799.80 16.319 0.007
 802.79 16.646 0.009
 804.78 16.844 0.009
 805.74 16.928 0.011
 809.74 17.242 0.023
 815.72 17.731 0.014
 818.79 17.905 0.016
 824.75 18.125 0.013
 831.71 18.190 0.014
 832.78 18.215 0.013
 835.67 18.244 0.016
 838.70 18.277 0.042
 841.74 18.331 0.022
 845.66 18.288 0.013
 850.67 18.372 0.014
 853.67 18.419 0.013
 858.60 18.499 0.027
 862.67 18.514 0.021
 866.62 18.497 0.023
 870.64 18.569 0.033
 872.63 18.606 0.018
 890.59 18.904 0.024
 891.59 18.860 0.025
 906.46 19.137 0.021
filter V
 775.68 15.495 0.005
 778.86 14.799 0.007
 780.87 14.520 0.006
 783.72 14.271 0.006
 784.83 14.217 0.006
 785.81 14.184 0.009
 786.84 14.146 0.006
 788.85 14.120 0.007
 790.80 14.130 0.006
 795.78 14.338 0.004
 798.80 14.558 0.006
 799.80 14.616 0.004
 802.79 14.784 0.006
 804.78 14.867 0.005
 805.74 14.921 0.007
 809.74 15.101 0.007
 815.72 15.494 0.008
 818.79 15.727 0.008
 819.77 15.786 0.008
 824.75 15.994 0.006
 831.71 16.219 0.010
 832.78 16.243 0.008
 835.67 16.329 0.007
 838.70 16.413 0.009
 841.74 16.504 0.009
 845.66 16.561 0.007
 850.67 16.716 0.007
 853.67 16.802 0.007
 858.60 16.929 0.009
 862.67 17.033 0.010
 866.62 17.116 0.010
 870.64 17.223 0.009
 872.63 17.264 0.011
 890.59 17.661 0.010
 891.59 17.698 0.011
 906.46 18.031 0.013
filter Y
 776.84 13.549 0.011
 777.84 13.392 0.016
 777.87 13.384 0.015
 779.86 13.204 0.013
 782.84 13.181 0.015
 789.81 13.650 0.016
 796.83 13.956 0.015
 797.82 13.939 0.019
 800.83 13.801 0.015
 803.80 13.589 0.020
 808.80 13.226 0.016
 810.77 13.058 0.015
 813.75 12.864 0.014
 817.83 12.897 0.017
 820.74 13.098 0.019
 826.77 13.438 0.013
 829.74 13.606 0.015
 830.74 13.672 0.016
 839.68 14.166 0.014
 848.71 14.664 0.018
 851.67 14.825 0.017
 859.62 15.241 0.017
 868.62 15.671 0.024
filter Ydw
 784.83 13.342 0.013
 784.84 13.337 0.014
 786.84 13.487 0.013
 786.85 13.427 0.013
 787.84 13.600 0.013
 787.84 13.561 0.015
 833.75 13.847 0.012
 833.76 13.768 0.013
 835.67 13.963 0.013
 835.67 13.904 0.013
 843.71 14.432 0.013
 843.72 14.388 0.013
 845.69 14.553 0.018
 845.69 14.481 0.013
 846.68 14.594 0.012
 846.69 14.615 0.013
filter J
 776.84 13.322 0.022
 777.84 13.150 0.022
 777.87 13.156 0.023
 779.86 12.941 0.023
 782.84 12.850 0.018
 789.81 13.244 0.019
 796.83 14.370 0.024
 797.82 14.506 0.023
 800.83 14.560 0.023
 803.80 14.463 0.024
 807.76 14.268 0.020
 808.80 14.193 0.021
 810.77 14.065 0.021
 813.75 13.805 0.021
 817.83 13.876 0.021
 820.74 14.135 0.022
 826.77 14.688 0.021
 829.74 14.894 0.026
 830.74 15.017 0.027
 839.68 15.564 0.035
 848.71 16.164 0.058
 851.67 16.329 0.055
 859.62 16.764 0.081
 860.63 16.892 0.054
 868.62 17.269 0.053
 784.83 12.933 0.022
 784.84 12.916 0.022
 786.84 13.024 0.022
 786.85 13.058 0.022
 787.84 13.135 0.022
 787.84 13.135 0.022
 833.75 15.149 0.023
 833.76 15.262 0.022
 835.67 15.376 0.022
 835.67 15.372 0.022
 843.71 15.947 0.023
 843.72 15.929 0.022
 845.69 16.068 0.023
 846.68 16.125 0.024
 846.69 16.114 0.024
filter H
 776.84 13.306 0.019
 777.84 13.186 0.020
 777.87 13.216 0.020
 779.86 13.054 0.021
 782.84 13.014 0.018
 789.81 13.261 0.022
 796.83 13.421 0.020
 797.82 13.424 0.019
 800.83 13.327 0.021
 803.80 13.209 0.021
 807.76 13.059 0.017
 808.80 13.028 0.020
 810.77 13.003 0.019
 813.75 13.011 0.019
 817.83 13.172 0.022
 820.74 13.409 0.022
 826.77 13.714 0.020
 829.74 13.846 0.023
 830.74 13.906 0.023
 839.68 14.242 0.023
 848.71 14.647 0.028
 851.67 14.781 0.028
 859.62 15.097 0.047
 868.62 15.511 0.033
 784.83 13.109 0.026
 784.84 13.100 0.027
 786.84 13.198 0.026
 786.85 13.201 0.026
 787.84 13.208 0.027
 787.84 13.219 0.027
 788.84 13.268 0.027
 788.84 13.277 0.027
 833.75 14.058 0.027
 833.76 14.071 0.027
 835.67 14.168 0.026
 835.67 14.100 0.028
 843.71 14.494 0.027
 843.72 14.531 0.027
 845.69 14.605 0.027
 845.69 14.617 0.027
 846.68 14.631 0.027
 846.69 14.626 0.027
