SN2008ar 0.026100 186.158000 10.838167
filter u
1527.79 17.430 0.025
1541.74 17.551 0.025
1542.75 17.667 0.024
1543.75 17.763 0.028
1545.75 17.967 0.043
1547.75 18.213 0.048
1551.78 18.872 0.043
1552.80 19.056 0.054
filter g
1527.79 16.675 0.009
1541.74 16.457 0.010
1542.75 16.518 0.008
1543.75 16.580 0.008
1545.75 16.716 0.009
1547.75 16.888 0.013
1551.78 17.278 0.010
1552.80 17.395 0.008
1558.70 17.942 0.010
1562.74 18.312 0.012
1564.72 18.450 0.011
1570.66 18.770 0.016
1571.72 18.861 0.021
1572.71 18.906 0.035
1576.67 19.051 0.036
1582.70 19.092 0.022
1592.69 19.318 0.017
1606.60 19.547 0.036
filter r
1527.79 16.765 0.009
1541.74 16.451 0.011
1542.75 16.501 0.009
1543.75 16.539 0.009
1545.75 16.674 0.009
1547.75 16.853 0.013
1551.78 16.936 0.011
1552.80 16.998 0.008
1558.70 17.095 0.011
1562.74 17.250 0.010
1564.72 17.341 0.009
1570.66 17.719 0.010
1571.72 17.779 0.010
1572.71 17.828 0.020
1576.67 18.017 0.017
1582.70 18.240 0.013
1592.69 18.536 0.015
1606.60 18.931 0.022
filter i
1527.79 17.119 0.011
1541.74 17.177 0.013
1542.75 17.212 0.009
1543.75 17.266 0.011
1545.75 17.416 0.013
1547.75 17.523 0.018
1551.78 17.577 0.019
1552.80 17.553 0.010
1558.70 17.443 0.012
1562.74 17.435 0.009
1564.72 17.451 0.012
1570.66 17.816 0.011
1571.72 17.884 0.013
1572.71 17.950 0.019
1576.67 18.215 0.023
1582.70 18.470 0.017
1592.69 18.838 0.025
1606.60 19.325 0.034
filter B
1527.79 16.768 0.011
1541.74 16.618 0.008
1542.75 16.680 0.008
1543.75 16.756 0.009
1545.75 16.928 0.011
1547.75 17.132 0.013
1551.78 17.610 0.013
1552.80 17.762 0.013
1558.70 18.394 0.018
1562.74 18.767 0.022
1564.72 18.884 0.016
1570.66 19.195 0.025
1571.72 19.300 0.037
1572.71 19.201 0.061
1576.67 19.391 0.068
1582.70 19.585 0.039
1592.69 19.689 0.030
1606.60 19.795 0.076
filter V
1527.79 16.769 0.009
1541.74 16.468 0.007
1542.75 16.505 0.008
1543.75 16.541 0.009
1545.75 16.639 0.009
1547.75 16.748 0.011
1551.78 16.987 0.009
1552.80 17.074 0.009
1558.70 17.433 0.012
1562.74 17.702 0.012
1564.72 17.810 0.012
1570.66 18.201 0.013
1571.72 18.293 0.021
1572.71 18.249 0.023
1576.67 18.455 0.027
1582.70 18.608 0.016
1592.69 18.835 0.018
1606.60 19.163 0.033
filter Y
1528.82 16.863 0.016
1528.81 16.895 0.022
1536.83 17.276 0.021
1536.82 17.247 0.025
1539.82 17.503 0.024
1539.82 17.429 0.024
1544.80 17.659 0.029
1544.81 17.599 0.028
1559.75 16.972 0.018
1559.76 16.999 0.023
1581.69 17.504 0.025
1581.70 17.492 0.028
1588.68 17.849 0.034
1588.69 17.853 0.030
1593.69 17.928 0.040
1627.59 19.651 0.133
filter Ydw
1548.78 17.662 0.094
1555.80 17.393 0.090
1602.61 18.186 0.061
1602.61 18.354 0.067
filter J
1528.82 16.782 0.036
1528.81 16.812 0.028
1536.83 17.081 0.037
1536.82 17.145 0.034
1539.82 17.291 0.048
1544.80 17.995 0.078
1544.81 18.143 0.081
filter H
1528.82 16.964 0.056
1536.83 17.231 0.076
1542.85 17.392 0.168
1542.86 17.568 0.167
1548.78 17.037 0.093
1555.80 17.320 0.164
1555.82 16.912 0.097
