# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-07-15 at 21:01:53
#
# Requested input R.A. = 250.836370833333 degrees
# Requested input Dec. = 61.5948666666667 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460508.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 824 5 1 ZTF_r 443392921715 0 2.85 171.427 5.87367 26.2123 5.2254e-06 0.0230365 0.0887795 8.78862e-06 684 30. 0.049142 0.062894 20.2381 26.2123 2 2458197.8929282 824120217 -22.9693978528616 29.0622247178956 -0.879175454833086 1.03491033441299 -62.3432863972659 48.144597453732 -1.30363894055576 1.03835745666819 null null null null null 2458161.062419 2458222.938889 57
 1 824 5 1 ZTF_r 443414091715 0 2.6973 128.168 6.66657 25.9061 6.6726e-06 0.0260161 0.0766775 1.11698e-05 681 30. 0.045482 0.055782 19.8819 25.9061 2 2458197.9140972 824120217 0.752476827190167 28.6669475092872 0.029198899284373 0.945401744239269 -11.8712324244281 50.8450265362091 -0.235051226678107 1.03301328642918 null null null null null 2458161.062419 2458222.938889 57
 2 824 5 1 ZTF_r 443519881715 33554480 1.7662 2.67844 8.49738 21.6983 0.00144131 0.0690186 0.0880971 0.00303613 36 30. 0.057482 0.057794 15.6104 21.6983 2 2458198.0198843 824120217 -3.03502369245336 35.8966370049314 -0.094050936295097 0.990972078952782 75.8275379204958 71.7918772086171 1.06332699073034 1.09801691139541 null null null null null 2458161.062419 2458222.938889 57
 3 824 5 1 ZTF_r 444363191715 0 2.6119 174.848 6.09944 26.2479 4.6661e-06 0.0222212 0.0883505 7.92127e-06 701 30. 0.051287 0.052728 20.2672 26.2479 2 2458198.8631944 824120217 25.5227919864462 28.2580136048582 1.00471145118146 0.996792326727445 60.3799549408823 47.9099631404648 1.26876777661354 1.04114016882848 null null null null null 2458161.062419 2458222.938889 57
 4 824 5 1 ZTF_r 444387971715 0 2.3455 175.701 6.02288 26.24 4.3609e-06 0.0214121 0.0921834 7.4117e-06 698 30. 0.044285 0.049158 20.3984 26.24 2 2458198.8879745 824120217 -11.7923136538303 25.5703720747003 -0.512999303773435 0.959628641482198 -58.4026273202497 46.3772033036124 -1.2677774464003 1.03626983264282 null null null null null 2458161.062419 2458222.938889 57
 5 824 5 1 ZTF_r 444391811715 0 2.212 175.906 5.8776 26.2523 4.2207e-06 0.0211754 0.0915757 7.16107e-06 704 30. 0.043683 0.048898 20.5078 26.2523 1 2458198.8918171 824120217 -6.32664319936875 24.0540422311936 -0.292576927218353 1.07876406854489 20.2411443803195 45.6494366373768 0.446390386242111 1.03200546317327 null null null null null 2458161.062419 2458222.938889 57
 6 824 5 1 ZTF_r 444400451715 0 2.0037 177.404 5.78927 26.259 3.8182e-06 0.0200345 0.0926353 6.4614e-06 702 30. 0.041554 0.047376 20.6249 26.259 1 2458198.9004514 824120217 27.2367878108355 22.3619851855544 1.35487844360303 1.08195220476883 30.9036864387972 43.5147697977302 0.714971599059824 1.03147024819523 null null null null null 2458161.062419 2458222.938889 57
 7 824 5 1 ZTF_r 444404351715 0 2.0625 178.146 5.75727 26.2613 4.3596e-06 0.02142 0.0966103 7.40893e-06 702 30. 0.043087 0.048566 20.5843 26.2613 2 2458198.9043519 824120217 42.5141185509537 21.9841017037216 2.1511924045109 0.976101319165707 3.78014163959248 42.0196182174613 0.0905672462641229 1.03210696556759 null null null null null 2458161.062419 2458222.938889 57
 8 824 5 1 ZTF_r 444429391715 0 1.9087 180.051 5.5996 26.2709 4.3662e-06 0.0215513 0.10005 7.37827e-06 704 30. 0.040364 0.046383 20.6586 26.2709 2 2458198.9293981 824120217 33.9109981303202 22.6846546450407 1.66288877661971 1.05337972263153 146.331353490006 45.1931846638934 3.25971503602885 1.03022100238628 null null null null null 2458161.062419 2458222.938889 57
 9 824 5 1 ZTF_r 444474691715 0 1.7244 156.575 6.2553 26.1114 5.6175e-06 0.0242778 0.107877 9.46121e-06 699 30. 0.044357 0.047723 20.4644 26.1114 2 2458198.9746991 824120217 -17.160414933823 23.5564817862838 -0.810349106782912 1.03087693048402 18.526473715517 47.7107698126612 0.390923279065609 1.02973334383905 null null null null null 2458161.062419 2458222.938889 57
 10 824 5 1 ZTF_g 448370021715 0 3.1952 83.0746 5.79904 26.2393 1.23974e-05 0.0349073 -0.133143 2.27396e-05 656 30. 0.056362 0.056265 20.1461 26.2393 2 2458202.8700231 824120117 -1.21010441265582 30.9267407949604 -0.0435254721872506 0.9296319699445 1.58807550970486 47.6658109216752 0.0335412585817457 1.0543045378762 null null null null null 2458203.893137 2458231.971505 57
 11 824 5 1 ZTF_g 449369491715 0 4.216 80.7287 7.67668 26.2125 1.96645e-05 0.0395216 -0.111779 4.32749e-05 554 30. 0.061706 0.072567 19.6448 26.2125 2 2458203.8694907 824120117 3.73978309673934 44.4370232060453 0.0936173313853366 1.00042524834932 0.501560104831026 61.5929187622093 0.00819799014467366 1.07295552883569 null null null null null 2458203.893137 2458231.971505 57
 12 824 5 1 ZTF_g 449391721715 0 2.8678 82.3651 7.03481 26.2264 1.21925e-05 0.0345588 -0.121482 2.23529e-05 651 30. 0.049391 0.054502 20.007 26.2264 2 2458203.8917245 824120117 36.8341470324583 36.240390394469 1.13060929363059 0.969432838746946 42.2194898835657 58.2447952709159 0.729744870409907 1.05146101057655 null null null null null 2458203.893137 2458231.971505 57
