# Created by M.D. Woods -- 2024-12-10 14:13:59.817869 -- HUBBLE RESID STD: 0.12958548329063316
# Cuts: {'z': 0.015, 'c': (-0.6, 0.6), 'x1': (-3.2, 0), 'c_err': 0.1, 'x1_err': 1, 't0_err': 1, 'mu_err': 0.2}
# Avg. 'c': -0.00551355667549669 +/- 0.036976974635761585
# Avg. 'x1': -0.8959520376324503 +/- 0.26954806175496693
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, x0, x0_err, x1, x1_err, t0, t0_err, c, c_err, chisquare, chisquare_err, hostMass, hostMass_err
2005ki, 160.117584, 9.20233, 0.01946, 0.02066, nan, nan, PanPlus, 34.6114, 0.1563, 0.0135839, 0.000465443, -1.29353, 0.11113, 53705.375, 0.088, -0.0573643, 0.0297536, 0.32, nan, 11.0605, 0.002
2007bd, 127.888672, -1.19944, 0.03044, 0.03141, nan, nan, PanPlus, 35.6245, 0.1483, 0.00526865, 0.00020157, -1.10681, 0.22538, 54206.789, 0.229, -0.0366911, 0.0329053, 0.14, nan, 10.4344, 0.002
2007fb, 359.218201, 5.50883, 0.01803, 0.0168, nan, nan, PanPlus, 34.4657, 0.1604, 0.0125539, 0.000473263, -1.55083, 0.0725409, 54287.59, 0.021, -0.00375559, 0.0248423, 0.39, nan, 9.6287, 0.003
2008eg, 27.901119, 19.104691, 0.03365, 0.03268, nan, nan, PanPlus, 35.9607, 0.1473, 0.00547214, 0.000314641, -0.772821, 0.14886, 54666.43, 0.498, -0.185916, 0.0363343, 0.44, nan, 10.6727, 0.002
2008gl, 20.22842, 4.80531, 0.03354, 0.03246, nan, nan, PanPlus, 35.7047, 0.1369, 0.00408067, 0.000113066, -1.24526, 0.17188, 54768.082, 0.164, 0.0288567, 0.0247742, 0.33, nan, 11.1311, 0.002
2009ee, 170.355423, 34.339809, 0.03549, 0.03645, nan, nan, PanPlus, 36.1, 0.1443, 0.00249574, 0.000153216, -2.09104, 0.24941, 54953.637, 0.056, 0.0356791, 0.0503791, 0.04, nan, 10.8582, 0.002
2009eu, 247.171371, 39.553471, 0.02983, 0.02991, nan, nan, PanPlus, 35.912, 0.1524, 0.00180321, 7.47127e-05, -1.98982, 0.20993, 54984.48, 0.19, 0.22744, 0.0384179, 6.3, nan, 11.6289, 0.002
2009fv, 247.43425, 40.811611, 0.02934, 0.02941, nan, nan, PanPlus, 35.4411, 0.1385, 0.00381173, 9.08254e-05, -0.769936, 0.11831, 54994.676, 0.226, 0.17208, 0.0224216, 0.48, nan, 11.4959, 0.002
2010ao, 205.920792, 3.90003, 0.0232, 0.02417, nan, nan, PanPlus, 35.0115, 0.1506, 0.0103741, 0.000347158, -0.434738, 0.13354, 55289.117, 0.173, -0.0638684, 0.0311283, 0.04, nan, 8.813, 0.003
2010ii, 339.554932, 35.491669, 0.02691, 0.02581, nan, nan, PanPlus, 35.1824, 0.1452, 0.0076018, 0.000395771, -1.6302, 0.18104, 55481.062, 0.125, -0.0748408, 0.0306841, 1.02, nan, 7.97988, 0.002
