# Created by M.D. Woods -- 2024-11-25 15:24:23.990411 -- HUBBLE RESID STD: 0.20298331548868975
# {'z': 0.015, 'EBVhost': (0.1, 999), 'EBVhost_err': 0.1, 'st': (-999, 1.0), 'st_err': 0.1, 'Tmax_err': 1, 'mu_err': 0.2}
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, chisquare, chisquare_err, hostMass, hostMass_err
2005A, 37.680208, -2.938833, 0.0191, 0.018175475414380166, 53376.65, 53433.53, CSP, 34.51382283956327, 0.02647089345632018, 0.971016316298393, 0.01363768136904187, 53380.20172620329, 0.20960801295998022, 1.0915154535041243, 0.012718989268786594, 2684.8612542432675, 19.88786114254272, 3.2610126934232015, 3.5302173689058103
2004gs, 129.596583, 17.627722, 0.0267, 0.02743521091657417, 53352.85, 53461.56, CSP, 35.506727058001545, 0.008189271699739065, 0.6978533232574247, 0.004360571825868994, 53356.98698200796, 0.039223036443727995, 0.1761787272139524, 0.005773405477341216, 445.61347870767776, 1.8802256485556024, 10.524491610792518, 0.0008337715580172614
2009al, 162.841958, 8.578528, 0.0221, 0.023294362161299355, 54891.71, 54973.54, CSP, 34.718567416867515, 0.032752337694100186, 0.9186475036249806, 0.017004454837158536, 54897.35184752055, 0.40258778932387984, 0.2846537634768186, 0.016313538748283837, 901.3775635359957, 13.453396470686503, 10.676596531095123, 0.0005467162453691708
2008ae, 149.013333, 10.499667, 0.03, 0.030857352186054905, 54508.74, 54602.52, CSP, 35.597199662678776, 0.07799596000851007, 0.4330242905818231, 0.03433016201622572, 54512.7301553859, 0.3061437485567594, 0.2741340633120017, 0.08024822237019046, 720.70537152074, 21.197216809433527, 10.290002175888732, 0.0008835091764675878
2006ev, 322.746917, 13.989222, 0.0287, 0.027057648155491495, 53993.59, 54039.52, CSP, 35.64198164742726, 0.012588380036277227, 0.8442979872999352, 0.007367044354524965, 53990.09466100468, 0.23575913653227248, 0.2222497719593792, 0.008834687750734564, 101.78136755408558, 2.261808167868568, 10.748696257484479, 0.0007780565778547196
2006gj, 49.399167, -1.691722, 0.0284, 0.027522378419553843, 53998.83, 54096.59, CSP, 35.61873389184679, 0.01285679018407017, 0.6502230475717449, 0.008950698990693912, 54001.02017429273, 0.07196539006205366, 0.26644826170867497, 0.011627495637584842, 110.00209020733084, 1.3924315216117829, 10.669635209313917, 0.0012479558890463075
2005mc, 126.7765, 21.646, 0.0252, 0.025657773714809186, 53736.79, 53773.62, CSP, 35.18960488107766, 0.015133026650237594, 0.6375193337707141, 0.010088808265262907, 53734.70165631961, 0.1742822604967851, 0.2524751976435286, 0.014047140056014755, 224.91728840584787, 3.0394228162952417, 13.004227849812548, 0.0005277710097430307
2008go, 332.686792, -20.788111, 0.0623, 0.06071935029069365, 54764.54, 54776.58, CSP, 36.978793663376784, 0.025133960037019985, 0.9086446375484699, 0.0315965371351917, 54766.37729019217, 0.2629798698798831, 0.11113175893243941, 0.011998278109980083, 102.23107954800626, 3.931964598000241, 10.908950503065558, 0.0017321529641886853
2007jd, 44.972375, 1.160722, 0.0726, 0.0717710864312675, 54362.83, 54409.83, CSP, 37.58760500706044, 0.03695865666054551, 0.9051831846369741, 0.02691465860788231, 54361.47672156471, 0.8164127908705104, 0.189352064780604, 0.01851936780080299, 350.98428544533454, 6.4997089897284175, 10.066482342060203, 0.004639021074210903
2006eq, 322.154708, 1.228194, 0.0495, 0.048494734308785356, 53980.56, 54029.51, CSP, 36.64975878434873, 0.0225030784522701, 0.6322541346485645, 0.01287597137313062, 53979.53491921812, 0.2570579271977845, 0.17975952521979616, 0.019820457703795768, 147.58867768979383, 2.5015030116914208, 10.120574709522273, 0.002816689517966661
