# Created by M.D. Woods -- 2024-12-16 10:50:51.205856 -- HUBBLE RESID STD: 0.18108556594790623
# Cuts: {'z': 0.015, 'c': (-0.6, 0.6), 'x1': (-3.2, 3.2), 'c_err': 0.1, 'x1_err': 1, 't0_err': 1, 'mu_err': 0.2}
# Avg. 'c': 0.3296536006641562 +/- 0.018664267791890045
# Avg. 'x1': -2.4109168350899055 +/- 0.1410631852108621
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, t0, t0_err, x0, x0_err, x1, x1_err, c, c_err, mu, mu_err, hostMass, hostMass_err, peak_mag, peak_mag_err, cov00, cov01, cov02, cov03, cov10, cov11, cov12, cov13, cov20, cov21, cov22, cov23, cov30, cov31, cov32, cov33
2006bd, 174.618583, 20.526222, 0.0257, 0.025660398620783453, 53822.75, 53872.57, CSP, 53810.392280268905, 0.1417983373394236, 0.0012144236013851002, 1.8530835642414478e-05, -1.716150603001807, 0.04464864846680883, 0.3951992931126959, 0.008941717129528527, 35.843809567236434, 0.03211174589953519, 12.327227584343689, 0.0010375416044816365, nan, nan, 0.020106811384149135, -1.650097899891999e-06, -0.003502472855606626, 0.0005458364649171271, -1.650097899891999e-06, 3.433918696061788e-10, -8.850631168751916e-08, -1.541925369877989e-07, -0.003502472855606626, -8.850631168751916e-08, 0.001993561875993082, 7.449373351976567e-05, 0.0005458364649171271, -1.541925369877989e-07, 7.449373351976567e-05, 7.995430522450389e-05
2006gt, 14.072083, -1.629444, 0.0448, 0.042419119009330715, 54001.67, 54076.62, CSP, 54002.98352461894, 0.06217687519529136, 0.0007899719801907305, 3.155488409693971e-06, -2.269970801290972, 0.03289116292728078, 0.2165294602276597, 0.0036184703718589546, 36.758407457395286, 0.012665196390406306, 10.111136946318842, 0.0037506224022017622, 18.37426923076923, 0.046269230769230764, 0.003865964792962606, -7.058584845089079e-08, -0.0005888665394889285, -1.0194525504360261e-05, -7.058584845089079e-08, 9.957107103712987e-12, -1.3593861683708744e-08, -7.949407214855048e-09, -0.0005888665394889285, -1.3593861683708744e-08, 0.0010818482553056961, 8.825297808081224e-06, -1.0194525504360261e-05, -7.949407214855048e-09, 8.825297808081224e-06, 1.309332783202108e-05
2007N, 192.255208, -9.452833, 0.0129, 0.015195347623445987, 54123.82, 54213.67, CSP, 54113.0241032369, 0.051206244781496935, 0.0024999103680209155, 1.921465906675755e-05, -2.9930357885059595, 0.016325234088099938, 0.5465739724968736, 0.004874157915976528, 34.41346399200956, 0.016936799634550224, 9.587336481996891, 0.0008157243912581323, nan, nan, 0.002622079980435463, -7.33136443811755e-07, -0.00033477260940031515, 0.00016080294950639163, -7.33136443811755e-07, 3.692031230517281e-10, -2.355642233521569e-08, -8.825782258390481e-08, -0.00033477260940031515, -2.355642233521569e-08, 0.00026651474397184255, 2.114935671000159e-06, 0.00016080294950639163, -8.825782258390481e-08, 2.114935671000159e-06, 2.3757415389876646e-05
2008bd, 154.597167, -13.103111, 0.0301, 0.031300703090299295, 54541.7, 54607.65, CSP, 54522.0732025374, 0.1570283042747178, 0.001790247104186559, 3.3945008037353526e-05, -2.395453621546084, 0.058797452244801596, 0.08103204448829576, 0.013317885226446533, 36.254737653562906, 0.04560507704118185, 11.066906876654066, 0.0008724495479113708, nan, nan, 0.024657958093679114, 8.924047515540564e-07, -0.006607547773175897, -0.0010018948607015902, 8.924047515540564e-07, 1.1522635706559955e-09, -1.338433060396543e-06, -4.1179038941544424e-07, -0.006607547773175897, -1.338433060396543e-06, 0.003457347241391417, 0.0006013062226240357, -0.0010018948607015902, -4.1179038941544424e-07, 0.0006013062226240357, 0.0001773660669048028
2008bt, 162.570333, -12.108889, 0.0154, 0.016446211765812194, 54571.61, 54651.47, CSP, 54568.77543763968, 0.0010825368044606876, 0.003312846286230737, 9.588794435754784e-06, -2.22891911100925, 0.014269430700507346, 0.4385971329948794, 0.0024442578222385962, 34.546452706223874, 0.008227838844953704, 10.724456328263154, 0.0005206097319448586, 16.852666666666668, 0.011416666666666665, 1.171885929210138e-06, -2.4786499966077913e-10, -1.4371317912219975e-07, 2.1763323955116867e-08, -2.4786499966077913e-10, 9.194497873116191e-11, -5.789776209953881e-08, -1.9925115651023655e-08, -1.4371317912219975e-07, -5.789776209953881e-08, 0.00020361734241495133, 7.021879290702409e-06, 2.1763323955116867e-08, -1.9925115651023655e-08, 7.021879290702409e-06, 5.974396301574565e-06
2018lph, 250.902241666667, 33.5336, 0.08, 0.07984945051024146, 58204.446608799975, 58600.39467590023, ZTF, 58311.44534338365, 0.07945791876409203, 0.00029760165352747236, 3.2301947393735196e-06, -2.0736002049625704, 0.1100731105027819, 0.12461810290927029, 0.010452246157831548, 38.12228887222717, 0.037318667841670185, 10.34149581173226, 0.004396506937327917, 19.28649345767246, 0.06267103497614876, 0.006313561120530709, 5.371388161766632e-08, 0.0033650941264374303, -0.00013681469380788972, 5.371388161766632e-08, 1.0434158054276362e-11, -9.947276017649166e-08, -2.5260736823007548e-08, 0.0033650941264374303, -9.947276017649166e-08, 0.01211845429632701, -4.035245122547963e-06, -0.00013681469380788972, -2.5260736823007548e-08, -4.035245122547963e-06, 0.00010924944974390437
2019cp, 163.7085070947211, -7.38096439111269, 0.05, 0.051879365434930505, 58486.59136235, 58610.37815865, ATLAS-ZTF, 58492.28640908872, 0.31079080617564614, 0.000256121371195039, 1.0751498996725495e-05, -2.56132705223004, 0.1639545046378943, 0.363571667703476, 0.03480950223912797, 37.49855884565889, 0.11604711422536566, 10.54711612988143, 0.0023269572276193662, 19.01392290499137, 0.12184386982084149, 0.09659095490629449, 8.809956615910624e-07, -0.0334263950016534, -0.0042665662854289525, 8.809956615910624e-07, 1.1559473067658933e-10, -3.244182280038419e-07, -3.5459069550194646e-07, -0.0334263950016534, -3.244182280038419e-07, 0.026894152084094694, 0.0009150415022744037, -0.0042665662854289525, -3.5459069550194646e-07, 0.0009150415022744037, 0.001211701446135855
2019luv, 328.812516666667, -12.1489944444444, 0.06, 0.05880631497338339, 58429.1904397998, 58812.13802079996, ZTF, 58691.4862426821, 0.31704306017854833, 0.00023593386364644694, 9.212899297043033e-06, -2.5828934346539563, 0.3558876459523228, 0.5173023803049801, 0.029587497578109016, 37.12628051180149, 0.11196623043408697, 9.828101197306356, 0.006206509407890266, 19.23561369811073, 0.05586869589333427, 0.10051637730748099, -1.0917105408392165e-06, 0.008615063602138076, 0.0014445319583728513, -1.0917105408392165e-06, 8.487751345745603e-11, -1.1081224309033137e-06, -2.411176672126607e-07, 0.008615063602138076, -1.1081224309033137e-06, 0.12694883901439183, 0.002925409962441582, 0.0014445319583728513, -2.411176672126607e-07, 0.002925409962441582, 0.0008754200129346069
2019moq, 6.61545160003238, 38.1232395512729, 0.0596, 0.0579716093873729, 58400.27783560008, 58987.46677079983, ZTF, 58695.23748400717, 0.06926596819903352, 0.0004482881778904764, 3.7411040537693734e-06, -2.440533214997024, 0.08696736662015736, 0.17089428851355315, 0.007822568332491737, 37.4834402234739, 0.028329535331969833, 10.979192644467481, 0.0047669442378859665, 18.845891894607025, 0.03328966313634356, 0.004797774420896234, -4.0175537365077265e-08, -0.0002994770621473944, 3.766427594501813e-05, -4.0175537365077265e-08, 1.399585954112964e-11, -1.1379410165794763e-07, -2.334940993444332e-08, -0.0002994770621473944, -1.1379410165794763e-07, 0.007564324337283371, 8.056863522700274e-05, 3.766427594501813e-05, -2.334940993444332e-08, 8.056863522700274e-05, 6.119257531650256e-05
2020abpe, 24.102259033033917, 22.049853890014997, 0.05, 0.04819889426180836, 59185.43413395, 59613.26274815, ATLAS-ZTF, 59193.129309339885, 0.20930639627113123, 0.0003247889507641027, 8.89528956738309e-06, -1.9362986451310227, 0.1635665396092878, 0.4008949404322857, 0.0228425069278905, 37.22507626921981, 0.07838452075060517, 10.649515955931236, 0.0029270517243323553, 19.06340799419177, 0.10461692141906183, 0.04380917161079773, -2.260169416085527e-07, -0.0028466134847793876, 2.6866113570931908e-05, -2.260169416085527e-07, 7.912617648759444e-11, -2.609623470616929e-07, -1.7273020694265346e-07, -0.0028466134847793876, -2.609623470616929e-07, 0.02676524790730777, -0.0002592727714398887, 2.6866113570931908e-05, -1.7273020694265346e-07, -0.0002592727714398887, 0.0005217801227507255
2020acbx, 131.588323927133, -12.656028038917848, 0.051, 0.05259510797396794, 59187.55942165, 59503.64067935, ATLAS-ZTF, 59194.674110483626, 0.37231779259673203, 0.00021395182498241993, 1.128914504091455e-05, -3.1266914342036594, 0.36299079498474507, 0.39344841827788635, 0.04688510712561428, 37.51834993581476, 0.1608957381528299, 10.202182551202336, 0.003249982662315169, 19.354721229625678, 0.18354329799792587, 0.13862060726792902, 1.2676311574552672e-07, -0.024813305775224698, -0.00159293267645267, 1.2676311574552672e-07, 1.274447957548056e-10, -7.242214005731268e-07, -4.469924389901254e-07, -0.024813305775224698, -7.242214005731268e-07, 0.13214421699105822, 0.0001538073291671824, -0.00159293267645267, -4.469924389901254e-07, 0.0001538073291671824, 0.0021982132701803265
2021abzd, 10.8995375, 30.592322222222222, 0.018086, 0.015988893991432624, 59217.20123839984, 59803.38336810004, ZTF, 59519.11500542606, 0.026719175384641858, 0.004220066366140362, 1.6588063472164693e-05, -3.1913367920015014, 0.033074744546732315, 0.2817609191251597, 0.0029908393682585572, 34.6037797296506, 0.011102166177267659, 10.78600418510209, 0.0005559682094218451, 16.387379115171175, 0.00795553717295239, 0.0007139143348745564, -1.6968112891267984e-07, 3.325218009904526e-05, 1.6660503823558377e-05, -1.6968112891267984e-07, 2.751638497565645e-10, -1.8891994613340778e-07, -4.377589518723065e-08, 3.325218009904526e-05, -1.8891994613340778e-07, 0.0010939656526774886, 2.8635042803908454e-05, 1.6660503823558377e-05, -4.377589518723065e-08, 2.8635042803908454e-05, 8.945120126725246e-06
2021jvp, 215.1956051172468, -19.78613155067654, 0.044, 0.04436986490741191, 59319.52496935, 59624.06991465, ATLAS-ZTF, 59326.94897580982, 0.3369819922845636, 0.0002666726056925585, 1.9738217896176295e-05, -2.3260814668076657, 0.36843685243796365, 0.49176322734659234, 0.05100768142590846, 37.10870910686627, 0.18094389727030125, 10.95457116086164, 0.0010071414066509068, 18.881124068352786, 0.14776933323514096, 0.11355690265137214, -4.539769723683487e-06, 0.09654648270181922, 0.011148991336043124, -4.539769723683487e-06, 3.895972457169342e-10, -5.495876850968535e-06, -9.69693348286728e-07, 0.09654648270181922, -5.495876850968535e-06, 0.13606043133155626, 0.012820467595826902, 0.011148991336043124, -9.69693348286728e-07, 0.012820467595826902, 0.002601783564446967
2021uve, 29.135696203526695, 3.8604084062493347, 0.055, 0.05335311633514992, 59428.58149315, 59596.26493355, ATLAS-ZTF, 59438.644306104456, 0.17745252206805162, 0.00040933749213606705, 9.226045969074112e-06, -1.1576199013431576, 0.14637149179729914, 0.2562778598189622, 0.0182714865788047, 37.523972321659954, 0.06375793241749814, 7.813528673239915, 0.07763466766209964, 18.864779883014087, 0.08172690214492101, 0.03148940268261591, -1.0254103817013617e-07, 0.0034076507226318987, -0.00019304283517560105, -1.0254103817013617e-07, 8.511992422346869e-11, -3.923877987601284e-07, -1.4609732618633728e-07, 0.0034076507226318987, -3.923877987601284e-07, 0.021431083567345088, 0.00019079785580540293, -0.00019304283517560105, -1.4609732618633728e-07, 0.00019079785580540293, 0.0003338472217994402
2022dsu, 211.37838920703345, 15.720950635018797, 0.07, 0.07061669273813125, 59610.62636385, 59688.50373495, ATLAS-ZTF, 59646.817895352026, 1.6787835193099454e-05, 0.0003730010882709572, 1.5405558224912437e-05, -2.524964419121229, 0.18286477306063942, 0.1432311969799893, 0.03294876498598089, 37.75257622959511, 0.1115096519131296, 10.258346269556945, 0.0036019101922798984, 19.19761904761905, 0.18047619047619048, 2.818313638247772e-10, 1.7086152430773847e-14, -9.130288314061559e-11, -2.3549475309546184e-11, 1.7086152430773847e-14, 2.3733122422116724e-10, -1.286339779160649e-06, -3.757781516405193e-07, -9.130288314061559e-11, -1.286339779160649e-06, 0.03345955745219137, -0.000300039836453469, -2.3549475309546184e-11, -3.757781516405193e-07, -0.000300039836453469, 0.0010856211141014006
