objname, objname, ra, dec, z, MJDs, MJDe, mu, st, Tmax, EBVhost, mu_err, st_err, Tmax_err, EBVhost_err, host_mass, host_mass_err
SN2006gt, SN2006gt, 14.072083, -1.629444, 0.0448, 1001.67, 1076.62, 36.51512268859098, 0.57739550470822, 1003.9469543764378, 0.04262526298056964, 0.013760307508426738, 0.007389498375493923, 0.08339620735641534, 0.012704120892289835, 10.111136946318842, 0.0037506224022017622
SN2009F, SN2009F, 74.848167, -11.130583, 0.013, 1837.75, 1884.63, 34.257638727000185, 0.10831668298061208, 1846.0248708502868, -0.5606258825581489, 0.09569639844510745, 0.0053525260151784425, 0.14568685077637195, 0.05179496356683985, 10.507359299115938, 0.000511704806211565
SN2006bd, SN2006bd, 174.618583, 20.526222, 0.0257, 822.75, 872.57, 35.75469200369534, 1.1185886925904054, 823.56521972216, 1.0596085337990426, 0.17242566200788267, 0.13934269724301743, 1.4279592371794145, 0.08805526638447841, 12.327227584343689, 0.0010375416044816365
SN2008bt, SN2008bt, 162.570333, -12.108889, 0.0154, 1571.61, 1651.47, 34.17171255516066, 0.4707028487977643, 1572.6200009202269, 0.21977069065243915, 0.026262245001767832, 0.012158915546977475, 0.11553643221026641, 0.019369877800693328, 10.724456328263154, 0.0005206097319448586
SN2007N, SN2007N, 192.255208, -9.452833, 0.0129, 1123.82, 1213.67, 34.389552853189116, 0.4568321325853602, 1123.0182874957227, 0.568541216847651, 0.030304027741043505, 0.013884366365906398, 0.262999362431699, 0.037629470857084464, 9.587336481996891, 0.0008157243912581323
SN2007ba, SN2007ba, 229.177625, 7.396611, 0.0385, 1190.83, 1255.61, 35.809961985787325, 0.5948122429398109, 1198.0057822676322, 0.16070145104308042, 0.02467470225262231, 0.012371985907509762, 0.10187674954363457, 0.02351060585111078, 11.141102329068884, 0.0008626674562506656
SN2005ke, SN2005ke, 53.768125, -24.944111, 0.0049, 689.69, 819.51, 32.13572387728442, 0.4761217803535295, 699.5453298542546, 0.25781446238310474, 0.017264015864524782, 0.007561366135800304, 0.08240607550811987, 0.015686723702754007, 9.964494815008727, 0.0001733967672340931
SN2005bl, SN2005bl, 181.051083, 20.406889, 0.0241, 476.61, 512.57, 35.336788206803654, 0.397898058525876, 483.09001973762895, 0.3234421303443901, 0.04480339243754532, 0.013305724291887018, 0.10475218214778842, 0.029261433036862267, 0.0, 0.0
SN2008bi, SN2008bi, 128.972458, 0.706417, 0.0134, 1551.52, 1628.47, 34.345687454946216, 0.4407957815452125, 1545.124955521607, 0.2371459508967536, 0.030218844214671366, 0.012020982712553845, 0.47993988624234546, 0.03900304614653953, 0.0, 0.0
SN2008bd, SN2008bd, 154.597167, -13.103111, 0.0301, 1541.7, 1592.62, 35.75618212911998, 0.40657004612149317, 1532.068431569314, -0.03423459729590779, 0.03684261599227108, 0.01416518059349337, 0.5214894575455031, 0.028595729003512572, 11.066906876654066, 0.0008724495479113708
SN2007al, SN2007al, 149.827, -19.473833, 0.0122, 1170.77, 1246.58, 34.36643164797031, 0.35832735476275857, 1170.4272444589383, 0.1291834189221426, 0.025564035912792948, 0.010748921534159534, 0.18314643473647269, 0.025003360899755557, 9.351354001759011, 0.0018110245506318002
